n,a_n,parity,is_odd_term,last_checked_previous_term
582,2174,even,False,25
583,2176,even,False,25
584,2180,even,False,25
585,2184,even,False,25
586,2186,even,False,25
587,2190,even,False,25
588,2192,even,False,25
589,2194,even,False,25
590,2198,even,False,25
591,2200,even,False,25
592,2204,even,False,25
593,2208,even,False,25
594,2210,even,False,25
595,2216,even,False,25
596,2222,even,False,25
597,2224,even,False,25
598,2228,even,False,25
599,2230,even,False,25
600,2232,even,False,25
601,2234,even,False,25
602,2240,even,False,25
603,2246,even,False,25
604,2252,even,False,25
605,2254,even,False,25
606,2258,even,False,25
607,2260,even,False,25
608,2264,even,False,25
609,2270,even,False,25
610,2274,even,False,25
611,2276,even,False,25
612,2278,even,False,25
613,2282,even,False,25
614,2288,even,False,25
615,2290,even,False,25
616,2294,even,False,25
617,2298,even,False,25
618,2300,even,False,25
619,2302,even,False,25
620,2304,even,False,25
621,2306,even,False,25
622,2312,even,False,25
623,2318,even,False,25
624,2320,even,False,25
625,2324,even,False,25
626,2328,even,False,25
627,2330,even,False,25
628,2334,even,False,25
629,2336,even,False,25
630,2342,even,False,25
631,2344,even,False,25
632,2348,even,False,25
633,2354,even,False,25
634,2360,even,False,25
635,2362,even,False,25
636,2366,even,False,25
637,2372,even,False,25
638,2378,even,False,25
639,2384,even,False,25
640,2390,even,False,25
641,2394,even,False,25
642,2396,even,False,25
643,2400,even,False,25
644,2402,even,False,25
645,2404,even,False,25
646,2406,even,False,25
647,2408,even,False,25
648,2414,even,False,25
649,2418,even,False,25
650,2420,even,False,25
651,2424,even,False,25
652,2426,even,False,25
653,2428,even,False,25
654,2430,even,False,25
655,2432,even,False,25
656,2438,even,False,25
657,2444,even,False,25
658,2450,even,False,25
659,2454,even,False,25
660,2456,even,False,25
661,2460,even,False,25
662,2462,even,False,25
663,2464,even,False,25
664,2468,even,False,25
665,2470,even,False,25
666,2474,even,False,25
667,2480,even,False,25
668,2482,even,False,25
669,2484,even,False,25
670,2486,even,False,25
671,2488,even,False,25
672,2490,even,False,25
673,2492,even,False,25
674,2494,even,False,25
675,2498,even,False,25
676,2500,even,False,25
677,2504,even,False,25
678,2508,even,False,25
679,2510,even,False,25
680,2512,even,False,25
681,2516,even,False,25
682,2522,even,False,25
683,2528,even,False,25
684,2534,even,False,25
685,2536,even,False,25
686,2540,even,False,25
687,2544,even,False,25
688,2546,even,False,25
689,2552,even,False,25
690,2558,even,False,25
691,2560,even,False,25
692,2562,even,False,25
693,2564,even,False,25
694,2570,even,False,25
695,2572,even,False,25
696,2574,even,False,25
697,2576,even,False,25
698,2580,even,False,25
699,2582,even,False,25
700,2586,even,False,25
701,2588,even,False,25
702,2594,even,False,25
703,2598,even,False,25
704,2600,even,False,25
705,2602,even,False,25
706,2604,even,False,25
707,2606,even,False,25
708,2610,even,False,25
709,2612,even,False,25
710,2614,even,False,25
711,2618,even,False,25
712,2624,even,False,25
713,2626,even,False,25
714,2628,even,False,25
715,2630,even,False,25
716,2636,even,False,25
717,2640,even,False,25
718,2642,even,False,25
719,2644,even,False,25
720,2648,even,False,25
721,2650,even,False,25
722,2654,even,False,25
723,2660,even,False,25
724,2666,even,False,25
725,2672,even,False,25
726,2678,even,False,25
727,2680,even,False,25
728,2684,even,False,25
729,2690,even,False,25
730,2696,even,False,25
731,2700,even,False,25
732,2702,even,False,25
733,2708,even,False,25
734,2714,even,False,25
735,2720,even,False,25
736,2722,even,False,25
737,2726,even,False,25
738,2732,even,False,25
739,2734,even,False,25
740,2736,even,False,25
741,2738,even,False,25
742,2744,even,False,25
743,2746,even,False,25
744,2750,even,False,25
745,2754,even,False,25
746,2756,even,False,25
747,2758,even,False,25
748,2760,even,False,25
749,2762,even,False,25
750,2768,even,False,25
751,2770,even,False,25
752,2774,even,False,25
753,2780,even,False,25
754,2782,even,False,25
755,2784,even,False,25
756,2786,even,False,25
757,2792,even,False,25
758,2798,even,False,25
759,2804,even,False,25
760,2806,even,False,25
761,2810,even,False,25
762,2814,even,False,25
763,2816,even,False,25
764,2820,even,False,25
765,2822,even,False,25
